Invoice_ID,Client_ID,Invoice_Date,Filing_Date,Amount,VAT_Rate,VAT_Amount,Category,Region,Filing_Status,Compliance_Flag,Risk_Score,Annual_Turnover,Amount_to_Turnover_Ratio,VAT_to_Amount_Ratio,Refund_Eligible,Refund_Amount,Is_Anomaly,Data_Source
INV-2025-04313,CLI-9772,2024-10-08,2024-10-15,207101.62,18%,37278.29,IT Services,South,On Time,Compliant,33,98274598.47,0.002107,0.18,Yes,31407.97,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-24566,CLI-8529,2024-10-08,2024-11-20,669752.88,12%,80370.35,Real Estate,East,On Time,Compliant,22,545312170.16,0.001228,0.12,Yes,61279.28,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-10975,CLI-3935,2024-10-08,2024-11-10,550337.19,12%,66040.46,Real Estate,East,On Time,Compliant,39,172560202.14,0.003189,0.12,Yes,44597.94,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-24297,CLI-4341,2024-10-08,2024-10-20,107835.52,12%,12940.26,IT Services,East,On Time,Non-Compliant,67,40986876.92,0.002631,0.12,No,0.0,Yes,Enhanced_Synthetic_with_Real_Patterns
INV-2025-06309,CLI-4661,2024-10-08,2024-11-18,481278.29,18%,86630.09,Real Estate,West,On Time,Compliant,15,325133540.64,0.00148,0.18,No,0.0,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-05926,CLI-8824,2024-10-08,2024-10-14,250916.76,5%,12545.84,Pharmaceuticals,East,On Time,Compliant,30,154400533.23,0.001625,0.05,Yes,7631.08,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-24031,CLI-3446,2024-10-08,2024-11-22,54155.01,18%,9747.9,Retail,East,On Time,Compliant,45,25661743.41,0.00211,0.18,No,0.0,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-00142,CLI-1888,2024-10-08,2024-10-21,152265.71,5%,7613.29,Manufacturing,North,On Time,Compliant,32,101181657.37,0.001505,0.05,No,0.0,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-01971,CLI-5936,2024-10-08,2024-10-28,190718.3,5%,9535.91,Pharmaceuticals,South,On Time,Compliant,21,126910904.6,0.001503,0.05,No,0.0,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-07557,CLI-4733,2024-10-08,2024-11-16,131988.99,12%,15838.68,Pharmaceuticals,West,On Time,Compliant,25,32653285.82,0.004042,0.12,Yes,11302.09,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-07931,CLI-8932,2024-10-08,2024-11-18,282574.36,5%,14128.72,Pharmaceuticals,East,On Time,Compliant,25,15223734.84,0.018561,0.05,Yes,11655.79,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-23446,CLI-8832,2024-10-08,2024-11-22,95903.81,5%,4795.19,Pharmaceuticals,East,On Time,Compliant,24,70245452.07,0.001365,0.05,Yes,3764.99,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-01578,CLI-6788,2024-10-08,2024-11-19,242918.18,18%,43725.27,Manufacturing,West,On Time,Compliant,15,222008663.15,0.001094,0.18,Yes,31290.46,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-08024,CLI-7495,2024-10-08,2024-11-03,149982.41,18%,26996.83,Manufacturing,South,On Time,Compliant,35,37459150.22,0.004004,0.18,Yes,16794.14,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-05313,CLI-8739,2024-10-08,2024-10-09,174247.38,5%,8712.37,FMCG,West,Very Late,Under Review,76,145065543.08,0.001201,0.05,No,0.0,Yes,Enhanced_Synthetic_with_Real_Patterns
INV-2025-08970,CLI-3696,2024-10-08,2024-10-15,19476.26,5%,973.81,Healthcare,West,On Time,Compliant,32,19282690.7,0.00101,0.05,Yes,875.8,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-05107,CLI-7559,2024-10-08,2024-11-09,30366.02,12%,3643.92,Retail,East,On Time,Under Review,54,21204482.41,0.001432,0.12,No,0.0,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-22961,CLI-2666,2024-10-08,2024-11-18,50816.29,12%,6097.95,Pharmaceuticals,West,On Time,Non-Compliant,46,33675714.77,0.001509,0.12,No,0.0,Yes,Enhanced_Synthetic_with_Real_Patterns
INV-2025-10429,CLI-9808,2024-10-08,2024-11-13,132471.47,5%,6623.57,FMCG,South,On Time,Compliant,38,24277889.9,0.005456,0.05,No,0.0,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-10540,CLI-4261,2024-10-08,2024-10-14,112216.45,5%,5610.82,Healthcare,West,Late,Non-Compliant,90,63453837.97,0.001768,0.05,No,0.0,Yes,Enhanced_Synthetic_with_Real_Patterns
INV-2025-22772,CLI-6532,2024-10-08,2024-10-17,103492.47,5%,5174.62,Pharmaceuticals,South,On Time,Compliant,30,71080466.07,0.001456,0.05,Yes,4141.15,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-10784,CLI-5577,2024-10-08,2024-10-16,48842.39,18%,8791.63,Retail,North,On Time,Compliant,25,25473092.16,0.001917,0.18,Yes,6556.49,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-08314,CLI-3666,2024-10-08,2024-10-10,58709.73,18%,10567.75,Manufacturing,East,Late,Under Review,70,50592848.52,0.00116,0.18,No,0.0,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-14196,CLI-7958,2024-10-08,2024-11-18,105984.03,5%,5299.2,Pharmaceuticals,West,On Time,Non-Compliant,44,77715641.58,0.001364,0.05,No,0.0,Yes,Enhanced_Synthetic_with_Real_Patterns
INV-2025-06175,CLI-8874,2024-10-08,2024-10-19,99949.03,12%,11993.88,Retail,East,On Time,Compliant,39,91111401.96,0.001097,0.12,Yes,10471.97,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-16461,CLI-9590,2024-10-08,2024-10-14,202934.5,12%,24352.14,Pharmaceuticals,West,On Time,Compliant,26,190908655.85,0.001063,0.12,Yes,16633.53,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-16915,CLI-6938,2024-10-08,2024-10-18,113079.8,28%,31662.34,IT Services,North,Late,Compliant,58,102299008.14,0.001105,0.28,Yes,25123.6,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-18825,CLI-1528,2024-10-08,2024-11-14,224494.5,28%,62858.46,IT Services,South,On Time,Non-Compliant,64,209382524.9,0.001072,0.28,No,0.0,Yes,Enhanced_Synthetic_with_Real_Patterns
INV-2025-02920,CLI-4637,2024-10-08,2024-10-26,98022.02,5%,4901.1,Pharmaceuticals,North,On Time,Compliant,33,50234539.48,0.001951,0.05,No,0.0,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-16694,CLI-4424,2024-10-08,2024-10-15,121543.82,18%,21877.89,Manufacturing,North,On Time,Compliant,40,55712114.11,0.002182,0.18,Yes,18166.99,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-16980,CLI-9625,2024-10-08,2024-10-25,101011.13,5%,5050.56,Education,South,On Time,Compliant,26,25529337.01,0.003957,0.05,Yes,3124.55,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-17152,CLI-3427,2024-10-08,2024-11-15,183982.06,5%,9199.1,Pharmaceuticals,North,On Time,Compliant,41,130957770.98,0.001405,0.05,Yes,6610.23,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-18287,CLI-8135,2024-10-08,2024-11-21,100887.95,18%,18159.83,Retail,South,On Time,Under Review,40,71450758.57,0.001412,0.18,No,0.0,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-16430,CLI-8756,2024-10-08,2024-11-01,144193.23,5%,7209.66,Pharmaceuticals,East,On Time,Compliant,38,84023810.55,0.001716,0.05,No,0.0,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-16338,CLI-1791,2024-10-08,2024-10-14,163303.05,5%,8165.15,Pharmaceuticals,West,On Time,Compliant,34,144043371.47,0.001134,0.05,No,0.0,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-16292,CLI-3451,2024-10-08,2024-10-16,276711.37,5%,13835.57,Manufacturing,North,On Time,Compliant,17,71466157.97,0.003872,0.05,No,0.0,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-20243,CLI-3701,2024-10-08,2024-11-10,228243.34,18%,41083.8,IT Services,South,On Time,Compliant,27,189500790.65,0.001204,0.18,No,0.0,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-19545,CLI-7141,2024-10-08,2024-11-17,289456.33,18%,52102.14,IT Services,North,On Time,Compliant,37,86384363.69,0.003351,0.18,Yes,37114.06,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-20504,CLI-2671,2024-10-08,2024-10-19,104080.62,5%,5204.03,Education,West,On Time,Compliant,33,51743943.48,0.002011,0.05,No,0.0,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-03309,CLI-9156,2024-10-08,2024-11-06,224267.78,18%,40368.2,IT Services,South,On Time,Compliant,27,13843743.53,0.0162,0.18,Yes,35460.26,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-19930,CLI-5236,2024-10-08,2024-10-17,295598.01,18%,53207.64,Manufacturing,North,On Time,Compliant,30,278334388.7,0.001062,0.18,No,0.0,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-20621,CLI-2322,2024-10-08,2024-10-23,137932.27,5%,6896.61,Pharmaceuticals,West,On Time,Compliant,21,117495601.78,0.001174,0.05,No,0.0,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-15566,CLI-6792,2024-10-08,2024-10-26,56757.67,12%,6810.92,Retail,South,On Time,Compliant,31,11279901.5,0.005032,0.12,Yes,4757.59,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-14407,CLI-5390,2024-10-08,2024-10-24,204803.1,5%,10240.16,Education,South,On Time,Compliant,19,35006003.68,0.005851,0.05,Yes,7382.06,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-14547,CLI-2864,2024-10-08,2024-10-23,109416.5,5%,5470.83,Healthcare,West,On Time,Compliant,17,96775223.3,0.001131,0.05,No,0.0,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-03009,CLI-5405,2024-10-08,2024-11-17,59370.04,12%,7124.4,IT Services,South,On Time,Compliant,32,48185175.68,0.001232,0.12,Yes,5127.05,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-21447,CLI-9412,2024-10-08,2024-11-04,197003.03,18%,35460.55,Hospitality,West,On Time,Compliant,23,65821774.73,0.002993,0.18,Yes,25490.58,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-19841,CLI-5362,2024-10-08,2024-10-16,197557.8,5%,9877.89,FMCG,East,On Time,Compliant,39,176155113.11,0.001121,0.05,Yes,6271.55,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-24982,CLI-4130,2024-10-08,2024-10-19,115916.95,12%,13910.03,Healthcare,East,On Time,Compliant,34,24478013.9,0.004736,0.12,Yes,10122.87,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-09207,CLI-6888,2024-10-09,2024-10-19,162636.69,5%,8131.83,IT Services,East,Very Late,Non-Compliant,100,121815234.61,0.001335,0.05,No,0.0,Yes,Enhanced_Synthetic_with_Real_Patterns
INV-2025-09036,CLI-9207,2024-10-09,2024-10-27,99364.47,12%,11923.74,FMCG,East,On Time,Non-Compliant,42,57774299.08,0.00172,0.12,No,0.0,Yes,Enhanced_Synthetic_with_Real_Patterns
INV-2025-08329,CLI-2671,2024-10-09,2024-11-18,250688.69,12%,30082.64,Pharmaceuticals,South,On Time,Compliant,39,74253298.95,0.003376,0.12,Yes,24835.48,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-18543,CLI-9392,2024-10-09,2024-10-19,133368.8,18%,24006.38,Manufacturing,West,Late,Non-Compliant,66,72392284.92,0.001842,0.18,No,0.0,Yes,Enhanced_Synthetic_with_Real_Patterns
INV-2025-09425,CLI-9539,2024-10-09,2024-11-20,262702.14,12%,31524.26,IT Services,East,On Time,Compliant,35,28233529.51,0.009305,0.12,Yes,19608.68,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-08489,CLI-2476,2024-10-09,2024-11-23,140326.09,18%,25258.7,IT Services,South,On Time,Non-Compliant,52,24063131.29,0.005832,0.18,No,0.0,Yes,Enhanced_Synthetic_with_Real_Patterns
INV-2025-18443,CLI-1745,2024-10-09,2024-11-07,91949.71,5%,4597.49,Education,North,Very Late,Non-Compliant,81,43308070.58,0.002123,0.05,No,0.0,Yes,Enhanced_Synthetic_with_Real_Patterns
INV-2025-18635,CLI-5531,2024-10-09,2024-10-31,175813.42,5%,8790.67,Pharmaceuticals,North,On Time,Compliant,15,19264224.52,0.009126,0.05,Yes,5395.4,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-14304,CLI-1229,2024-10-09,2024-11-10,91814.08,12%,11017.69,Healthcare,West,On Time,Under Review,52,74097309.62,0.001239,0.12,No,0.0,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-19269,CLI-9247,2024-10-09,2024-10-25,69370.0,18%,12486.6,FMCG,North,On Time,Under Review,42,33429900.33,0.002075,0.18,No,0.0,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-07779,CLI-6404,2024-10-09,2024-10-29,79559.42,5%,3977.97,Retail,South,On Time,Compliant,19,57398683.57,0.001386,0.05,No,0.0,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-07750,CLI-4807,2024-10-09,2024-10-28,63194.52,5%,3159.73,Education,West,On Time,Compliant,42,49642567.49,0.001273,0.05,No,0.0,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-07474,CLI-1971,2024-10-09,2024-10-31,141798.17,18%,25523.67,FMCG,East,Late,Non-Compliant,72,111812392.24,0.001268,0.18,No,0.0,Yes,Enhanced_Synthetic_with_Real_Patterns
INV-2025-23762,CLI-5137,2024-10-09,2024-10-30,56855.93,5%,2842.8,Retail,South,On Time,Compliant,42,22957240.86,0.002477,0.05,No,0.0,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-07268,CLI-1488,2024-10-09,2024-10-31,75833.16,12%,9099.98,Retail,East,On Time,Compliant,42,31929070.88,0.002375,0.12,Yes,6980.92,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-02019,CLI-3822,2024-10-09,2024-11-22,139293.16,5%,6964.66,Pharmaceuticals,North,On Time,Compliant,25,75498618.81,0.001845,0.05,No,0.0,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-06888,CLI-4789,2024-10-09,2024-11-13,100255.46,12%,12030.66,Retail,West,On Time,Compliant,35,21394062.55,0.004686,0.12,Yes,9564.46,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-23871,CLI-3015,2024-10-09,2024-10-25,103930.95,18%,18707.57,Manufacturing,South,Late,Compliant,53,11221949.03,0.009261,0.18,Yes,14094.01,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-06872,CLI-6966,2024-10-09,2024-11-01,222203.3,28%,62216.92,Real Estate,South,On Time,Non-Compliant,58,192482520.79,0.001154,0.28,No,0.0,Yes,Enhanced_Synthetic_with_Real_Patterns
INV-2025-06517,CLI-2771,2024-10-09,2024-10-20,374564.08,18%,67421.53,IT Services,West,Very Late,Under Review,86,46845562.86,0.007996,0.18,No,0.0,Yes,Enhanced_Synthetic_with_Real_Patterns
INV-2025-20031,CLI-2213,2024-10-09,2024-10-25,34721.04,5%,1736.05,Healthcare,East,On Time,Compliant,38,20404300.42,0.001702,0.05,No,0.0,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-19202,CLI-2391,2024-10-09,2024-11-10,57781.76,18%,10400.72,Hospitality,South,On Time,Compliant,34,23130731.98,0.002498,0.18,Yes,7526.56,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-09679,CLI-5204,2024-10-09,2024-11-06,73784.81,12%,8854.18,Others,West,On Time,Compliant,43,6632013.35,0.011126,0.12,No,0.0,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-20758,CLI-7569,2024-10-09,2024-10-31,86667.44,18%,15600.14,FMCG,South,Late,Compliant,56,4616846.27,0.018772,0.18,Yes,12045.15,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-10284,CLI-3198,2024-10-09,2024-10-13,270466.42,5%,13523.32,Real Estate,North,On Time,Compliant,19,34197435.16,0.007909,0.05,No,0.0,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-21713,CLI-2551,2024-10-09,2024-11-07,41718.57,12%,5006.23,Manufacturing,South,On Time,Compliant,34,38184185.74,0.001093,0.12,Yes,3140.22,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-14176,CLI-8562,2024-10-09,2024-10-20,61334.0,5%,3066.7,Retail,East,On Time,Under Review,52,6041772.51,0.010152,0.05,No,0.0,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-13941,CLI-1067,2024-10-09,2024-11-11,41601.91,12%,4992.23,IT Services,North,On Time,Compliant,41,40154015.31,0.001036,0.12,Yes,3133.22,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-01071,CLI-8742,2024-10-09,2024-10-17,203476.36,12%,24417.16,Manufacturing,North,On Time,Compliant,24,34782959.16,0.00585,0.12,No,0.0,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-15445,CLI-3522,2024-10-09,2024-10-21,152838.5,18%,27510.93,Manufacturing,North,Late,Non-Compliant,85,75954914.73,0.002012,0.18,No,0.0,Yes,Enhanced_Synthetic_with_Real_Patterns
INV-2025-00351,CLI-2044,2024-10-09,2024-11-13,91686.54,5%,4584.33,Healthcare,East,On Time,Compliant,33,68846358.7,0.001332,0.05,Yes,3333.31,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-15563,CLI-9697,2024-10-09,2024-10-24,88120.14,28%,24673.64,IT Services,North,On Time,Compliant,26,38169957.07,0.002309,0.28,Yes,18636.97,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-13133,CLI-5316,2024-10-09,2024-11-04,117984.48,5%,5899.22,FMCG,West,Late,Compliant,53,97114327.68,0.001215,0.05,No,0.0,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-12938,CLI-5741,2024-10-09,2024-11-14,39708.05,5%,1985.4,Education,West,On Time,Compliant,30,7409837.52,0.005359,0.05,No,0.0,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-15692,CLI-5902,2024-10-09,2024-10-11,225885.53,18%,40659.4,IT Services,East,On Time,Compliant,30,113665924.43,0.001987,0.18,Yes,34437.38,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-15736,CLI-8010,2024-10-09,2024-11-09,116023.93,5%,5801.2,IT Services,West,On Time,Compliant,22,5926412.38,0.019577,0.05,No,0.0,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-15989,CLI-6990,2024-10-09,2024-10-12,113302.82,12%,13596.34,Pharmaceuticals,South,On Time,Compliant,31,111321597.41,0.001018,0.12,Yes,10872.63,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-00129,CLI-8699,2024-10-09,2024-10-28,365664.81,12%,43879.78,Pharmaceuticals,West,Late,Non-Compliant,82,153706186.78,0.002379,0.12,No,0.0,Yes,Enhanced_Synthetic_with_Real_Patterns
INV-2025-00989,CLI-8898,2024-10-09,2024-10-17,153383.17,5%,7669.16,Pharmaceuticals,East,On Time,Compliant,37,60852532.77,0.002521,0.05,No,0.0,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-16314,CLI-3840,2024-10-09,2024-10-28,101363.8,5%,5068.19,Education,West,On Time,Compliant,22,11185255.17,0.009062,0.05,Yes,3853.62,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-12133,CLI-5333,2024-10-09,2024-10-10,103719.38,5%,5185.97,Education,East,On Time,Compliant,33,81248683.15,0.001277,0.05,Yes,4092.33,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-12129,CLI-4871,2024-10-09,2024-10-21,41430.94,12%,4971.71,Retail,South,On Time,Non-Compliant,66,7683052.33,0.005393,0.12,No,0.0,Yes,Enhanced_Synthetic_with_Real_Patterns
INV-2025-01443,CLI-3275,2024-10-09,2024-10-11,129226.93,12%,15507.23,Pharmaceuticals,South,On Time,Compliant,37,60449886.28,0.002138,0.12,Yes,13190.86,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-11849,CLI-6840,2024-10-09,2024-10-19,45283.18,18%,8150.97,FMCG,South,On Time,Compliant,17,23953799.29,0.00189,0.18,No,0.0,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-11787,CLI-3240,2024-10-09,2024-10-21,57145.42,5%,2857.27,FMCG,North,On Time,Non-Compliant,64,11546211.48,0.004949,0.05,No,0.0,Yes,Enhanced_Synthetic_with_Real_Patterns
INV-2025-11418,CLI-8242,2024-10-09,2024-10-29,120852.56,18%,21753.46,IT Services,South,On Time,Compliant,24,103663826.99,0.001166,0.18,Yes,19077.05,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-22612,CLI-1451,2024-10-09,2024-10-25,81561.13,5%,4078.06,Healthcare,East,On Time,Compliant,27,33769720.1,0.002415,0.05,No,0.0,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-20839,CLI-3617,2024-10-09,2024-10-29,130147.95,28%,36441.43,Manufacturing,North,On Time,Non-Compliant,63,30818217.81,0.004223,0.28,No,0.0,Yes,Enhanced_Synthetic_with_Real_Patterns
INV-2025-22631,CLI-1169,2024-10-09,2024-10-23,44917.82,12%,5390.14,Retail,West,On Time,Compliant,20,32918578.54,0.001365,0.12,Yes,3752.52,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-20795,CLI-9033,2024-10-09,2024-11-12,67303.64,5%,3365.18,Retail,East,Late,Under Review,75,15373930.74,0.004378,0.05,No,0.0,Yes,Enhanced_Synthetic_with_Real_Patterns
INV-2025-14346,CLI-4332,2024-10-09,2024-11-08,78140.8,12%,9376.9,Retail,North,On Time,Compliant,39,29546724.75,0.002645,0.12,No,0.0,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-10835,CLI-6588,2024-10-09,2024-10-11,78363.64,18%,14105.46,FMCG,West,On Time,Compliant,34,67009747.62,0.001169,0.18,No,0.0,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-17926,CLI-8853,2024-10-09,2024-10-29,145067.77,28%,40618.98,Manufacturing,East,On Time,Compliant,28,43198447.72,0.003358,0.28,Yes,35983.45,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-10638,CLI-7606,2024-10-09,2024-11-11,194465.59,5%,9723.28,Pharmaceuticals,East,Very Late,Non-Compliant,100,124044588.43,0.001568,0.05,No,0.0,Yes,Enhanced_Synthetic_with_Real_Patterns
INV-2025-10205,CLI-9491,2024-10-09,2024-10-29,169050.69,18%,30429.12,Retail,North,On Time,Compliant,44,90569691.23,0.001867,0.18,Yes,21362.5,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-25000,CLI-9334,2024-10-09,2024-11-09,105833.97,5%,5291.7,Retail,North,Late,Under Review,64,3619806.73,0.029237,0.05,No,0.0,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-10884,CLI-7870,2024-10-09,2024-10-15,86223.77,5%,4311.19,Education,South,On Time,Compliant,25,35302152.51,0.002442,0.05,Yes,3038.67,No,Enhanced_Synthetic_with_Real_Patterns
